Mint                                         Time to Peak
BoySahYgaJy2DGiUiYR6jwVDRDxLxHv9973AGzJypump  69.057377
2pGU57EQkFEmkoZzBymFWcdEWFkm1hEnhT7eNK4Zpump  69.784841
HZ7oVeutiFvtypQiNSHHicTdbc3fxWRygWmWn6W8pump  72.8093
HmAuCGExa2kVgESDm2kP9UwFhYuwepPdtNDe3zTXpump  77.303116
F74yYyFEX4T8HCUCcWQLAKxArQE619kXfpLZFXXQpump  83.164968
69mgbi9cu4phpWcZcUNcGm5wyBs9zV4rAGLcTP4mpump  85.272981
Avwchg3mPvQXFBhb5etd83opv3kUVseovE7jgyUYpump  88.547878
EnDaxZrmn8yiaz3mFpv7pm3K2cRVpERVF9cfVcBMvUw7  90.381436
HKXNdUA71BydsVzJEsdLMvbGs4gTEDRTdMoAfEBipump  92.566546
s5W76ynGHorAQrJ5gR1aM6Ww3xHS3PD1XFch4nqpump   93.661192
B6NxKCx6tSc5mnHj3Zuoi9ocfPym1E6Yc3krggNgpump  95.962738
3PDtNKysAFze6Y5VK2mG4RJbLg76dH92tdHXEsf5pump  97.487571
83Y7n1uwJ3r9BKC7zTb8jNhpTnpmZTB7LqC9dHwxj44G  108.101971
813LgpnhnyiejLdGJsPKEzdastRTUrDP9Fsit7iqpump  109.727136
5HtpkHbNgJoyW6NwpbNmFhttzRZDa7kpQWyoagQ2pump  111.68409
3xstFNMctTp58u7NGHRu7oyTzRcsQTKPsxQsJV6fpump  113.900708
4PdGVKyGvsT1qHqYTHNHdZ7BMhFBmTLC6vUjYzctpump  119.679792
3knSg93vq84Pw6gsQxdGjbWpJ75Cuvb6yyQrs9wbpump  121.993736
Be8kY1Qdne6M3NZSzcECHc1UjLJ6taZdwb3a1wvgpump  128.19209
2A41swjngHoGSLc6VAR2z1PHyYAFxJ7spxxxjPmMpump  134.381967
5TD8PhHCqeCweT2Es75KV8unS8o7oYu92ANqM3LLpump  134.688915
XkZQs2Rj3bYh8zmLeyGi8Z11ytrb6Pz8g5sP7Kjpump   135.267137
4DR5ZteobFi7N1gu6D569MeG1ofhHrBuzb5vAphWpump  140.946102
3hF7Y7bKbrtq95knqxXQPGwHLDNuJPNYANkuXNVVpump  143.450649
zjQFhoZ9V3ohpyTGqvi9mehi5YDjiVUKPnNqGk6pump   143.477517
QGwcgWHBDKwiFmsUVzbiF8nGqvqXGT2tLnuvdGdpump   145.097902
AqjPrPQXaqZ289U15re4rruPojqvwkZg2dX4CWGfpump  147.159488
BWVr9r3jHmyzrAR84tcgyhpzJDry3Chd3v9gmkpbpump  148.05739
6gDmo72gCT74WDi239CeQvnAdjXPaAoxMgVTCH8ipump  148.300572
AVpW8jiLzgEtmEFpWCQYkH88wQLFht5LzKhWXrSLpump  153.482663
9dEunhRSc7NsZ8gHDJxejyZUhgtSssTF9S2RL4xepump  160.218561
FrCYmJxUMci4iCdNqsuTWaD3P4TvayWLCa1AWrVopump  161.991718
DxyCh97ecSmwbEwkq5wk6WBMQWgEviRVqfmZ9mnrpump  175.769369
CBg6VCN96ibSSvCyQF8BCfFYyE8n26aWpMQBWNvnpump  175.962568
LdtdXQzbunscZ9W74repsdU1ra8DQGd5JG689kwpump   176.535549
